"","group","plant","y"
"1","ctrl",431.1,NA
"2","ctrl",594.2,NA
"3","ctrl",839,NA
"4","ctrl",410,NA
"5","ctrl",712.3,NA
"6","ctrl",313.5,NA
"7","ctrl",617.4,NA
"8","ctrl",541,NA
"9","sl1",475.3,5.29
"10","sl1",238.1,1.27
"11","sl1",425.5,2.18
"12","sl1",366.2,4.62
"13","sl1",395.8,3.07
"14","sl1",356.6,2.74
"15","sl1",344.2,1.65
"16","sl2",489,2.665
"17","sl2",534.7,2.655
"18","sl2",374.1,2.63
"19","sl2",224,3
"20","sl2",285.9,4.885
"21","sl2",483.3,3.495
"22","sl2",388.3,3.99
"23","sl2",415,3.045
"24","sl3",230.2,1.533333333
"25","sl3",356.5,1.173333333
"26","sl3",95.4,2.81
"27","sl3",496.3,0.3
"28","sl3",167.9,1.013333333
"29","sl3",131.6,1.66
"30","sl3",418.1,1.906666667
"31","sl3",197.3,2.613333333
"32","px1",404.1,1.26
"33","px1",488,0.67
"34","px1",692.6,0.66
"35","px1",264.7,0.78
"36","px1",755.8,1.15
"37","px1",620.4,1.02
"38","px1",743.3,1.08
"39","px1",629.8,0.97
"40","px2",496.2,1.205
"41","px2",486.4,0.31
"42","px2",839.3,1.225
"43","px2",271.9,1.06
"44","px2",571.9,0.67
"45","px2",427.2,1.235
"46","px2",296.1,1.185
"47","px2",322.3,0.985
"48","px3",599.5,0.74
"49","px3",586.8,0.763333333
"50","px3",177.9,0.976666667
"51","px3",578.5,0.89
"52","px3",299.5,1.28
"53","px3",318.3,0.9
"54","px3",312.2,0.853333333
"55","mp1",404.2,13
"56","mp1",596.2,20.5
"57","mp1",655.6,26.5
"58","mp1",375.7,18
"59","mp1",310,12
"60","mp1",468.4,20
"61","mp1",416.4,20.5
"62","mp1",431.3,13
"63","mp2",321.2,16.75
"64","mp2",837.2,21.5
"65","mp2",423.2,22.25
"66","mp2",327.1,11.5
"67","mp2",415.3,12.25
"68","mp2",363.6,20.5
"69","mp2",404.2,15.25
"70","mp2",316.9,20
"71","mp3",298.3,17.5
"72","mp3",209.2,17.66666667
"73","mp3",310.5,14.83333333
"74","mp3",272.9,18.66666667
"75","mp3",219.6,12.5
"76","mp3",300.6,14.33333333
"77","mp3",472.4,16.66666667
"78","le1",288.4,26
"79","le1",568.3,10.5
"80","le1",527.9,22
"81","le1",540.4,30.5
"82","le1",305.1,27.5
"83","le1",457,12.5
"84","le1",452.5,22
"85","le1",175.5,9.5
"86","le2",393.9,13.75
"87","le2",534,29.75
"88","le2",187.8,9.5
"89","le2",240.5,13.75
"90","le2",359.1,22.75
"91","le2",289.6,9.5
"92","le2",286.9,20.5
"93","le2",202.1,16.5
"94","le3",169.2,8
"95","le3",237.6,7.5
"96","le3",268.5,7
"97","le3",220.3,13
"98","le3",347.2,13.16666667
"99","le3",201.6,13.66666667
"100","le3",233.5,8
"101","le3",233.7,11.33333333
