final_label,module_id
Benzenoids,1
Carboxylic acids and derivatives,2
"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3
Fatty Acyls,4
"Lignans, neolignans and related compounds",5
Lipids and lipid-like molecules,6
"Nucleosides, nucleotides, and analogues",7
"Organic 1,3-dipolar compounds",8
Organic acids and derivatives,9
Organic nitrogen compounds,10
Organic salts,11
Organohalogen compounds,12
Organoheterocyclic compounds,13
Organometallic compounds,14
Organooxygen compounds,15
Organophosphorus compounds,16
Organosulfur compounds,17
Phenylpropanoids and polyketides,18
