"module_id","size","mean_intra_similarity"
1,149,0.705323562529007
2,131,0.765824741353997
3,121,0.762497386577525
4,127,0.789060402991544
5,214,0.815283732290487
6,145,0.737337257463449
7,124,0.775334460740453
8,36,0.686131738143609
9,93,0.631701079040388
10,84,0.75554180557795
11,138,0.835769380576117
12,68,0.589996359535769
13,46,0.695761273472955
15,141,0.79089396226762
16,76,0.610618475425547
17,56,0.613352729293236
18,81,0.661732561852131
19,120,0.813206924928509
20,92,0.649573868537521
21,32,0.58518475810596
22,79,0.568529997388526
24,84,0.854224518346813
25,55,0.677937694010882
26,107,0.771239717912606
27,46,0.600870700512805
28,56,0.619535780194125
29,28,0.552798747379003
30,23,0.833888975280898
31,26,0.627140969301984
32,13,0.582831082697422
33,9,0.958109959164779
34,3,0.512779745776177
35,28,0.603399646627326
36,33,0.552209948322241
37,21,0.544220658889385
38,7,0.554649556117887
39,23,0.602896646793422
40,10,0.517685987982572
42,7,0.600494668845125
43,13,0.696450567253179
